"Name","Created","Runtime","End Time","Hostname","ID","Notes","GPU Type","State","Updated","Tags","CKAS/layer1","CKAS/layer2","CKAS/layer3","CKAS/layer4","CKAS/layer5","CKAS/layer6","TEST/accuracy","TRAIN/accuracy","TRAIN/loss"
"resnet18 imagenet shuffle_degree: 9 4 fintuning with 5000 samples","2024-01-16T20:37:51.000Z","4961","2024-01-16T22:00:32.000Z","risha","3pbexepw","-","NVIDIA TITAN RTX","finished","2024-01-16T22:00:32.000Z","","0.9989790882313804","0.9992432228915188","0.998973704806516","0.9814635900828852","0.8844554416490205","0.5293441658371756","0","99.84","0.0379859631774342"
"resnet18 imagenet shuffle_degree: 4 3 fintuning with 5000 samples","2024-01-16T19:19:44.000Z","4713","2024-01-16T20:38:17.000Z","risha","e936b9rx","-","NVIDIA TITAN RTX","finished","2024-01-16T20:38:17.000Z","","0.9992526612721312","0.9990975919509067","0.9987672161952657","0.9839159448018964","0.8860842917119531","0.5411275736055493","0","99.82","0.03878959871021805"
"resnet18 imagenet shuffle_degree: 9 3 fintuning with 5000 samples","2024-01-16T19:19:44.000Z","4627","2024-01-16T20:36:51.000Z","risha","rbkgx7r7","-","NVIDIA TITAN RTX","finished","2024-01-16T20:36:51.000Z","","0.9992526612721312","0.9990975919509067","0.9987672161952657","0.9839159448018964","0.8860842917119531","0.5411275736055493","0","99.82","0.03878959871021805"
"resnet18 imagenet shuffle_degree: 4 2 fintuning with 5000 samples","2024-01-16T18:00:32.000Z","4610","2024-01-16T19:17:22.000Z","risha","1hjbiux4","-","NVIDIA TITAN RTX","finished","2024-01-16T19:17:22.000Z","","0.9992838679517678","0.999234766864076","0.9988938081849584","0.9800256878767118","0.8794577464805947","0.5315804695979486","0","99.78","0.03883493925403258"
"resnet18 imagenet shuffle_degree: 9 2 fintuning with 5000 samples","2024-01-16T18:00:26.000Z","4631","2024-01-16T19:17:37.000Z","risha","301bp85j","-","NVIDIA TITAN RTX","finished","2024-01-16T19:17:37.000Z","","0.9992838679517678","0.999234766864076","0.9988938081849584","0.9800256878767118","0.8794577464805947","0.5315804695979486","0","99.78","0.03883493925403258"
"vgg16 imagenet shuffle_degree: 9 4 fintuning with 5000 samples","2024-01-16T17:51:30.000Z","12487","2024-01-16T21:19:37.000Z","matar","3aups05p","-","NVIDIA TITAN RTX","finished","2024-01-16T21:19:37.000Z","","0.9875228440022926","0.9912085863630872","0.9826896057303056","0.9597216886157104","0.8740657985300738","0.25807309922644905","0","64.04","1.4418649191309691"
"vgg16 imagenet shuffle_degree: 4 4 fintuning with 5000 samples","2024-01-16T17:14:46.000Z","13045","2024-01-16T20:52:11.000Z","matar","2uz8x6sw","-","NVIDIA TITAN RTX","finished","2024-01-16T20:52:11.000Z","","0.9875228440022926","0.9912085863630872","0.9826896057303056","0.9597216886157104","0.8740657985300738","0.25807309922644905","0","64.04","1.4418649191309691"
"resnet18 imagenet shuffle_degree: 4 1 fintuning with 5000 samples","2024-01-16T16:51:19.000Z","4039","2024-01-16T17:58:38.000Z","risha","1dn1am9n","-","NVIDIA TITAN RTX","finished","2024-01-16T17:58:38.000Z","","0.999295058767889","0.9991342603536988","0.9989675369120375","0.9701379129286274","0.8847590327201247","0.5402195223605147","0","99.86","0.03615329021908295"
"resnet18 imagenet shuffle_degree: 9 1 fintuning with 5000 samples","2024-01-16T16:51:19.000Z","4040","2024-01-16T17:58:39.000Z","risha","2wja6f27","-","NVIDIA TITAN RTX","finished","2024-01-16T17:58:39.000Z","","0.999295058767889","0.9991342603536988","0.9989675369120375","0.9701379129286274","0.8847590327201247","0.5402195223605147","0","99.86","0.03615329021908295"
"resnet18 imagenet shuffle_degree: 2 4 fintuning with 5000 samples","2024-01-16T15:37:24.000Z","4148","2024-01-16T16:46:32.000Z","risha","2rge6bgw","-","NVIDIA TITAN RTX","finished","2024-01-16T16:46:32.000Z","","0.9989790882313804","0.9992432228915188","0.998973704806516","0.9814635900828852","0.8844554416490205","0.5293441658371756","0","99.84","0.0379859631774342"
